Meter_ID,Meter_PT
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,100
39,100
40,100
41,100
42,100
43,100
44,100
45,100
46,100
47,100
48,100
49,100
50,100
51,100
52,100
53,100
54,100
55,100
56,100
57,10
58,100
59,100
60,100
61,100
62,100
63,100
64,100
65,100
66,100
67,100
68,100
69,100
70,100
71,100
72,100
73,100
74,100
75,100
76,100
77,100
78,100
79,100
80,100
81,100
82,100
83,100
84,100
85,100
86,100
87,100
88,100
89,100
90,100
91,100
92,100
93,100
94,10
95,100
96,100
97,100
98,100
99,100
100,100
101,100
102,100
103,100
104,100
105,100
106,100
107,100
108,100
109,100
110,100
111,100
112,100
113,100
114,100
115,100
116,100
117,100
118,100
119,100
120,100
121,100
122,100
123,100
124,100
125,100
126,100
127,100
128,100
129,100
130,10
131,10
132,100
133,100
134,100
135,10
136,10
137,10
138,100
139,100
140,100
141,100
142,10
143,100
144,100
145,100
146,10
147,10
148,100
149,100
150,100
151,100
152,10
153,10
154,100
155,100
156,100
157,10
158,10
159,100
160,100
161,100
162,10
163,10
164,10
165,10
166,10
167,100
168,100
169,100
170,10
171,10
172,10
173,10
174,10
175,100
176,100
177,100
178,10
179,10
180,10
181,100
182,100
183,100
184,10
185,10
186,100
187,100
188,100
189,10
190,10
191,10
192,100
193,10
194,100
200,10
201,100
206,10
207,100
208,10
209,100
210,100
211,10
212,10
214,100
215,100
216,10
217,10
218,100
220,10
221,10
222,100
223,100
224,100
225,10
226,100
227,10
228,100
229,100
230,100
231,10
232,100
233,100
234,100
235,10
236,100
237,100
238,100
239,10
240,100
241,100
242,100
243,10
244,100
245,100
246,100
247,10
248,100
249,100
250,100
251,10
252,100
253,100
254,100
255,10
256,100
257,100
258,100
259,10
260,100
261,100
262,100
263,10
264,100
265,100
266,100
267,10
268,10
269,100
270,100
271,100
272,10
273,10
274,100
275,100
276,100
277,10
278,10
279,100
280,100
281,100
282,10
283,10
284,100
285,100
286,10
287,100
288,10
289,10
290,100
291,100
292,100
293,10
294,10
295,100
296,100
297,10
298,100
299,100
300,100
301,100
302,10
303,10
304,100
305,100
306,10
307,100
308,100
309,100
315,100
316,10
317,10
318,100
319,100
320,10
321,100
322,100
323,100
324,100
325,10
326,10
327,100
328,100
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
374,1
377,1
380,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
405,1
407,1
409,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
