Meter_ID,Meter_MeasurePoint,Concentrator_ID
1,1,21020056
2,2,21020056
3,3,21020056
4,4,21020056
5,5,21020056
6,6,21020056
7,8,21020056
8,7,21020056
9,9,21020056
10,11,21020056
11,10,21020056
12,10,21020042
13,1,21020047
14,2,21020047
15,3,21020047
16,4,21020047
17,5,21020047
18,6,21020047
19,7,21020047
20,8,21020047
21,9,21020047
22,10,21020047
23,11,21020047
24,1,21020072
25,2,21020072
26,3,21020072
27,4,21020072
28,5,21020072
29,6,21020072
30,7,21020072
31,1,21020049
32,2,21020049
33,3,21020049
34,4,21020049
35,5,21020049
36,6,21020049
37,7,21020049
38,1,20100123
39,2,20100123
40,3,20100123
41,4,20100123
42,5,20100123
43,6,20100123
44,7,20100123
45,8,20100123
46,9,20100123
47,10,20100123
48,11,20100123
49,12,20100123
50,13,20100123
51,14,20100123
52,15,20100123
53,16,20100123
54,17,20100123
55,18,20100123
56,19,20100123
57,20,20100123
58,21,20100123
59,22,20100123
60,23,20100123
61,24,20100123
62,25,20100123
63,26,20100123
64,27,20100123
65,28,20100123
66,29,20100123
67,1,20100120
68,2,20100120
69,3,20100120
70,4,20100120
71,5,20100120
72,6,20100120
73,7,20100120
74,8,20100120
75,9,20100120
76,10,20100120
77,11,20100120
78,12,20100120
79,13,20100120
80,14,20100120
81,15,20100120
82,16,20100120
83,17,20100120
84,18,20100120
85,19,20100120
86,20,20100120
87,21,20100120
88,22,20100120
89,23,20100120
90,1,20100117
91,2,20100117
92,3,20100117
93,4,20100117
94,5,20100117
95,6,20100117
96,7,20100117
97,8,20100117
98,9,20100117
99,10,20100117
100,11,20100117
101,12,20100117
102,13,20100117
103,14,20100117
104,15,20100117
105,16,20100117
106,17,20100117
107,18,20100117
108,19,20100117
109,20,20100117
110,21,20100117
111,22,20100117
112,1,20100115
113,2,20100115
114,3,20100115
115,4,20100115
116,5,20100115
117,6,20100115
118,7,20100115
119,8,20100115
120,9,20100115
121,10,20100115
122,11,20100115
123,12,20100115
124,13,20100115
125,14,20100115
126,15,20100115
127,16,20100115
128,17,20100115
129,18,20100115
130,19,20100115
131,1,20100122
132,2,20100122
133,3,20100122
134,4,20100122
135,5,20100122
136,6,20100122
137,7,20100122
138,8,20100122
139,9,20100122
140,10,20100122
141,11,20100122
142,12,20100122
143,13,20100122
144,14,20100122
145,15,20100122
146,16,20100122
147,17,20100122
148,18,20100122
149,19,20100122
150,20,20100122
151,21,20100122
152,22,20100122
153,23,20100122
154,24,20100122
155,25,20100122
156,26,20100122
157,27,20100122
158,1,20100113
159,2,20100113
160,3,20100113
161,4,20100113
162,5,20100113
163,6,20100113
164,7,20100113
165,8,20100113
166,9,20100113
167,10,20100113
168,11,20100113
169,12,20100113
170,13,20100113
171,14,20100113
172,15,20100113
173,16,20100113
174,17,20100113
175,18,20100113
176,19,20100113
177,20,20100113
178,21,20100113
179,22,20100113
180,23,20100113
181,24,20100113
182,25,20100113
183,26,20100113
184,27,20100113
185,28,20100113
186,29,20100113
187,30,20100113
188,31,20100113
189,32,20100113
190,35,19072153
191,15,20100108
192,16,20100108
193,17,20100108
194,18,20100108
200,11,20100108
201,12,20100108
206,13,20100108
207,14,20100108
208,1,19072153
209,2,19072153
210,3,19072153
211,4,19072153
212,5,19072153
214,6,19072153
215,7,19072153
216,8,19072153
217,9,19072153
218,10,19072153
220,12,19072153
221,1,20100107
222,2,20100107
223,3,20100107
224,4,20100107
225,5,20100107
226,6,20100107
227,7,20100107
228,8,20100107
229,9,20100107
230,10,20100107
231,11,20100107
232,12,20100107
233,13,20100107
234,14,20100107
235,15,20100107
236,16,20100107
237,17,20100107
238,18,20100107
239,19,20100107
240,20,20100107
241,21,20100107
242,22,20100107
243,23,20100107
244,24,20100107
245,25,20100107
246,26,20100107
247,27,20100107
248,28,20100107
249,29,20100107
250,30,20100107
251,31,20100107
252,32,20100107
253,33,20100107
254,34,20100107
255,35,20100107
256,36,20100107
257,37,20100107
258,38,20100107
259,1,20100103
260,2,20100103
261,3,20100103
262,4,20100103
263,5,20100103
264,6,20100103
265,7,20100103
266,8,20100103
267,9,20100103
268,10,20100103
269,11,20100103
270,12,20100103
271,13,20100103
272,14,20100103
273,15,20100103
274,16,20100103
275,17,20100103
276,18,20100103
277,19,20100103
278,20,20100103
279,21,20100103
280,22,20100103
281,23,20100103
282,24,20100103
283,1,20100119
284,2,20100119
285,3,20100119
286,4,20100119
287,5,20100119
288,6,20100119
289,7,20100119
290,8,20100119
291,9,20100119
292,10,20100119
293,11,20100119
294,12,20100119
295,13,20100119
296,14,20100119
297,15,20100119
298,16,20100119
299,17,20100119
300,18,20100119
301,19,20100119
302,20,20100119
303,21,20100119
304,22,20100119
305,23,20100119
306,24,20100119
307,25,20100119
308,26,20100119
309,27,20100119
315,1,20100118
316,2,20100118
317,3,20100118
318,4,20100118
319,5,20100118
320,6,20100118
321,7,20100118
322,8,20100118
323,9,20100118
324,10,20100118
325,11,20100118
326,12,20100118
327,13,20100118
328,14,20100118
329,30,20100123
330,31,20100123
331,32,20100123
332,33,20100123
333,34,20100123
334,35,20100123
335,36,20100123
336,1,20100124
337,2,20100124
338,3,20100124
339,4,20100124
340,5,20100124
341,6,20100124
342,7,20100124
343,8,20100124
344,1,20100111
345,4,20100111
346,2,20100111
347,5,20100111
348,3,20100111
349,6,20100111
350,7,20100111
351,20,20100115
352,21,20100115
353,22,20100115
354,23,20100115
355,24,20100115
356,25,20100115
357,26,20100115
358,27,20100115
359,6,20100121
360,7,20100121
361,8,20100121
362,9,20100121
363,10,20100121
364,11,20100121
365,12,20100121
366,13,20100121
367,25,20100103
368,26,20100103
369,27,20100103
370,28,20100103
371,28,20100119
374,29,20100119
377,30,20100119
380,31,20100119
382,28,20100122
383,29,20100122
384,30,20100122
385,31,20100122
386,32,20100122
387,33,20100122
388,34,20100122
389,33,20100113
390,34,20100113
391,35,20100113
392,36,20100113
393,37,20100113
394,38,20100113
395,39,20100113
396,40,20100113
397,41,20100113
398,13,19072153
399,14,19072153
400,15,19072153
401,16,19072153
402,17,19072153
405,18,19072153
407,19,19072153
409,20,19072153
411,45,20100119
412,46,20100119
413,47,20100119
414,48,20100119
415,49,20100119
416,50,20100119
417,51,20100119
460,1,21020042
461,2,21020042
462,3,21020042
463,4,21020042
464,7,21020042
465,8,21020042
466,6,21020042
467,5,21020042
468,11,21020042
469,12,21020042
470,15,21020042
471,9,21020042
472,10,21020042
473,13,21020042
474,14,21020042
475,18,21020042
476,21,21020042
477,17,21020042
478,20,21020042
479,16,21020042
480,19,21020042
481,22,21020042
482,23,21020042
483,24,21020042
484,25,21020042
485,26,21020042
486,27,21020042
487,28,21020042
488,29,21020042
489,1,21020045
490,2,21020045
491,3,21020045
492,4,21020045
493,5,21020045
494,6,21020045
495,7,21020045
496,10,21020045
497,9,21020045
498,8,21020045
499,11,21020045
500,12,21020045
501,13,21020045
502,14,21020045
503,35,20100122
