channel,meterType,modbusAddress,meterId,measurePoint,concentratorAddress
1,0,1,1,1,21020056
1,0,2,2,2,21020056
1,0,3,3,3,21020056
1,0,4,4,4,21020056
1,0,5,5,5,21020056
1,0,6,6,6,21020056
1,0,7,7,8,21020056
1,0,8,8,7,21020056
1,0,9,9,9,21020056
1,0,10,10,11,21020056
1,0,11,11,10,21020056
1,0,12,13,1,21020047
1,0,13,14,2,21020047
1,0,14,15,3,21020047
1,0,15,16,4,21020047
1,0,16,17,5,21020047
1,0,17,18,6,21020047
1,0,18,19,7,21020047
1,0,19,20,8,21020047
1,0,20,21,9,21020047
1,0,21,22,10,21020047
1,0,22,23,11,21020047
1,0,23,24,1,21020072
1,0,24,25,2,21020072
1,0,25,26,3,21020072
1,0,26,27,4,21020072
1,0,27,29,6,21020072
1,0,28,30,7,21020072
1,0,29,31,1,21020049
1,0,30,32,2,21020049
1,0,31,33,3,21020049
1,0,32,34,4,21020049
1,0,33,36,6,21020049
1,0,34,37,7,21020049
1,0,35,38,1,20100123
1,0,36,39,2,20100123
1,0,37,40,3,20100123
1,0,38,41,4,20100123
1,0,39,42,5,20100123
1,0,40,43,6,20100123
1,0,41,44,7,20100123
1,0,42,46,9,20100123
1,0,43,47,10,20100123
1,0,44,48,11,20100123
1,0,45,49,12,20100123
1,0,46,50,13,20100123
1,0,47,51,14,20100123
1,0,48,52,15,20100123
1,0,49,53,16,20100123
1,0,50,54,17,20100123
1,0,51,55,18,20100123
1,0,52,56,19,20100123
1,0,53,57,20,20100123
1,0,54,58,21,20100123
1,0,55,59,22,20100123
1,0,56,60,23,20100123
1,0,57,61,24,20100123
1,0,58,62,25,20100123
1,0,59,63,26,20100123
1,0,60,64,27,20100123
1,0,61,65,28,20100123
1,0,62,66,29,20100123
1,0,63,67,1,20100120
1,0,64,68,2,20100120
1,0,65,69,3,20100120
1,0,66,70,4,20100120
1,0,67,71,5,20100120
1,0,68,72,6,20100120
1,0,69,73,7,20100120
1,0,70,74,8,20100120
1,0,71,75,9,20100120
1,0,72,76,10,20100120
1,0,73,77,11,20100120
1,0,74,78,12,20100120
1,0,75,79,13,20100120
1,0,76,80,14,20100120
1,0,77,81,15,20100120
1,0,78,82,16,20100120
1,0,79,83,17,20100120
1,0,80,84,18,20100120
1,0,81,86,20,20100120
1,0,82,87,21,20100120
1,0,83,88,22,20100120
1,0,84,89,23,20100120
1,0,85,90,1,20100117
1,0,86,91,2,20100117
1,0,87,92,3,20100117
1,0,88,93,4,20100117
1,0,89,94,5,20100117
1,0,90,95,6,20100117
1,0,91,96,7,20100117
1,0,92,97,8,20100117
1,0,93,98,9,20100117
1,0,94,99,10,20100117
1,0,95,100,11,20100117
1,0,96,101,12,20100117
1,0,97,102,13,20100117
1,0,98,103,14,20100117
1,0,99,105,16,20100117
1,0,100,106,17,20100117
1,0,101,107,18,20100117
1,0,102,108,19,20100117
1,0,103,109,20,20100117
1,0,104,110,21,20100117
